,HoldOut,Training
22300,0.3259192825112107,0.3132735426008969
22400,0.3241964285714286,0.31321428571428567
22500,0.3243555555555555,0.31333333333333335
22600,0.32575221238938057,0.3135398230088495
22700,0.32317180616740093,0.3131277533039648
22800,0.32333333333333336,0.3131578947368421
22900,0.32393013100436685,0.31414847161572057
23000,0.32408695652173913,0.31365217391304345
23100,0.32398268398268393,0.3135064935064935
23200,0.3224137931034483,0.31405172413793103
23300,0.3221459227467811,0.31459227467811157
23400,0.32307692307692304,0.31487179487179484
23500,0.323063829787234,0.3139574468085107
23600,0.32279661016949157,0.31499999999999995
23700,0.3221940928270042,0.31451476793248945
23800,0.32016806722689073,0.31445378151260506
23900,0.31966527196652716,0.31489539748953976
24000,0.32099999999999995,0.3145
24100,0.31975103734439836,0.31510373443983397
24200,0.32049586776859507,0.3145454545454546
24300,0.3216460905349794,0.31580246913580245
24400,0.3215573770491803,0.31442622950819676
24500,0.322204081632653,0.3142857142857143
24600,0.32333333333333336,0.31471544715447153
24700,0.3219433198380567,0.31465587044534415
24800,0.32096774193548383,0.31499999999999995
24900,0.32088353413654613,0.3149397590361446
25000,0.32192,0.31448
25100,0.3227888446215139,0.31498007968127495
25200,0.32253968253968257,0.3148412698412698
25300,0.32308300395256917,0.3155731225296443
25400,0.32377952755905515,0.31377952755905514
25500,0.32447058823529407,0.31380392156862746
25600,0.32437499999999997,0.3140625
