,HandOut,Training
21600,0.6737037037037037,0.6871296296296296
21700,0.6749308755760368,0.6861751152073733
21800,0.6742201834862386,0.6865137614678899
21900,0.6730593607305936,0.6866666666666666
22000,0.6750909090909091,0.6863636363636364
22100,0.6722171945701357,0.6865158371040724
22200,0.6731531531531532,0.6858558558558558
22300,0.6740807174887893,0.6867264573991031
22400,0.6758035714285714,0.6867857142857143
22500,0.6756444444444445,0.6866666666666666
22600,0.6742477876106194,0.6864601769911505
22700,0.6768281938325991,0.6868722466960352
22800,0.6766666666666666,0.6868421052631579
22900,0.6760698689956331,0.6858515283842794
23000,0.6759130434782609,0.6863478260869565
23100,0.6760173160173161,0.6864935064935065
23200,0.6775862068965517,0.685948275862069
23300,0.6778540772532189,0.6854077253218884
23400,0.676923076923077,0.6851282051282052
23500,0.676936170212766,0.6860425531914893
23600,0.6772033898305084,0.685
23700,0.6778059071729958,0.6854852320675106
23800,0.6798319327731093,0.6855462184873949
23900,0.6803347280334728,0.6851046025104602
24000,0.679,0.6855
24100,0.6802489626556016,0.684896265560166
24200,0.6795041322314049,0.6854545454545454
24300,0.6783539094650206,0.6841975308641975
24400,0.6784426229508197,0.6855737704918032
24500,0.677795918367347,0.6857142857142857
24600,0.6766666666666666,0.6852845528455285
24700,0.6780566801619433,0.6853441295546558
24800,0.6790322580645162,0.685
24900,0.6791164658634539,0.6850602409638554
25000,0.67808,0.68552
25100,0.6772111553784861,0.685019920318725
25200,0.6774603174603174,0.6851587301587302
25300,0.6769169960474308,0.6844268774703557
25400,0.6762204724409449,0.6862204724409449
25500,0.6755294117647059,0.6861960784313725
25600,0.675625,0.6859375
